run_name,epoch,train_acc,val_acc,overfitting_gap,cnn_depth,examples_per_epoch,val_e_acc,val_i_acc,e_i_gap,learning_rate,timestamp,cm_e_correct,cm_e_incorrect,cm_i_correct,cm_i_incorrect
2dcnn_mc_d5_e5000,1,58.34,58.88,-0.54,5,5000,87.49,30.27,57.22,0.000010,2025-08-22 16:03:23,2168,310,750,1728
2dcnn_mc_d5_e10000,1,58.35,61.60,-3.25,5,10000,81.23,41.97,39.27,0.000010,2025-08-22 16:03:27,2013,465,1040,1438
2dcnn_mc_d3_e10000,1,56.90,59.48,-2.58,3,10000,42.49,76.47,-33.98,0.000010,2025-08-22 16:03:28,1053,1425,1895,583
2dcnn_mc_d3_e5000,1,56.52,59.40,-2.88,3,5000,43.83,74.98,-31.15,0.000010,2025-08-22 16:03:29,1086,1392,1858,620
2dcnn_mc_d1_e5000,1,50.98,52.06,-1.08,1,5000,11.42,92.70,-81.28,0.000010,2025-08-22 16:03:30,283,2195,2297,181
2dcnn_mc_d1_e10000,1,52.59,55.21,-2.62,1,10000,23.61,86.80,-63.20,0.000010,2025-08-22 16:03:47,585,1893,2151,327
2dcnn_mc_d5_e5000,2,61.02,62.07,-1.05,5,5000,81.19,42.94,38.26,0.000010,2025-08-22 16:03:49,2012,466,1064,1414
2dcnn_mc_d3_e20000,1,57.74,62.01,-4.27,3,20000,56.90,67.11,-10.21,0.000010,2025-08-22 16:03:59,1410,1068,1663,815
2dcnn_mc_d5_e10000,2,61.99,61.34,0.65,5,10000,89.39,33.29,56.09,0.000010,2025-08-22 16:04:05,2215,263,825,1653
2dcnn_mc_d3_e10000,2,58.67,60.11,-1.44,3,10000,47.94,72.28,-24.33,0.000010,2025-08-22 16:04:06,1188,1290,1791,687
2dcnn_mc_d1_e5000,2,54.14,54.50,-0.36,1,5000,20.98,88.01,-67.03,0.000010,2025-08-22 16:04:08,520,1958,2181,297
2dcnn_mc_d3_e5000,2,58.64,61.66,-3.02,3,5000,57.99,65.33,-7.34,0.000010,2025-08-22 16:04:08,1437,1041,1619,859
2dcnn_mc_d5_e5000,3,63.52,60.47,3.05,5,5000,87.69,33.25,54.44,0.000009,2025-08-22 16:04:15,2173,305,824,1654
2dcnn_mc_d1_e20000,1,53.78,56.90,-3.12,1,20000,32.04,81.76,-49.72,0.000010,2025-08-22 16:04:25,794,1684,2026,452
2dcnn_mc_d5_e5000,4,64.56,60.69,3.87,5,5000,85.75,35.63,50.12,0.000009,2025-08-22 16:04:42,2125,353,883,1595
2dcnn_mc_d5_e10000,3,63.72,62.49,1.23,5,10000,83.82,41.16,42.66,0.000009,2025-08-22 16:04:43,2077,401,1020,1458
2dcnn_mc_d1_e10000,2,56.20,57.04,-0.84,1,10000,33.29,80.79,-47.50,0.000010,2025-08-22 16:04:44,825,1653,2002,476
2dcnn_mc_d3_e10000,3,60.05,61.76,-1.71,3,10000,56.62,66.91,-10.29,0.000009,2025-08-22 16:04:44,1403,1075,1658,820
2dcnn_mc_d3_e5000,3,59.24,61.06,-1.82,3,5000,52.46,69.65,-17.19,0.000009,2025-08-22 16:04:47,1300,1178,1726,752
2dcnn_mc_d1_e5000,3,55.00,55.15,-0.15,1,5000,23.93,86.36,-62.43,0.000009,2025-08-22 16:04:47,593,1885,2140,338
2dcnn_mc_d3_e20000,2,60.62,62.11,-1.49,3,20000,57.22,66.99,-9.77,0.000010,2025-08-22 16:05:01,1418,1060,1660,818
2dcnn_mc_d5_e5000,5,65.72,63.66,2.06,5,5000,69.90,57.43,12.47,0.000009,2025-08-22 16:05:08,1732,746,1423,1055
2dcnn_mc_d5_e10000,4,65.08,63.24,1.84,5,10000,83.37,43.10,40.27,0.000009,2025-08-22 16:05:22,2066,412,1068,1410
2dcnn_mc_d3_e10000,4,60.59,62.03,-1.44,3,10000,63.76,60.29,3.47,0.000009,2025-08-22 16:05:23,1580,898,1494,984
2dcnn_mc_d1_e5000,4,55.82,57.26,-1.44,1,5000,32.93,81.60,-48.67,0.000009,2025-08-22 16:05:26,816,1662,2022,456
2dcnn_mc_d3_e5000,4,60.26,60.43,-0.17,3,5000,42.70,78.17,-35.47,0.000009,2025-08-22 16:05:26,1058,1420,1937,541
2dcnn_mc_d5_e5000,6,67.12,62.63,4.49,5,5000,79.34,45.92,33.41,0.000009,2025-08-22 16:05:34,1966,512,1138,1340
2dcnn_mc_d1_e10000,3,56.27,58.09,-1.82,1,10000,39.75,76.43,-36.68,0.000009,2025-08-22 16:05:41,985,1493,1894,584
2dcnn_mc_d1_e20000,2,57.17,58.33,-1.16,1,20000,38.22,78.45,-40.23,0.000010,2025-08-22 16:05:56,947,1531,1944,534
2dcnn_mc_d5_e10000,5,66.80,64.59,2.21,5,10000,78.85,50.32,28.53,0.000009,2025-08-22 16:06:01,1954,524,1247,1231
2dcnn_mc_d5_e5000,7,69.42,61.46,7.96,5,5000,85.11,37.81,47.30,0.000009,2025-08-22 16:06:01,2109,369,937,1541
2dcnn_mc_d3_e10000,5,61.06,62.79,-1.73,3,10000,62.55,63.03,-0.48,0.000009,2025-08-22 16:06:02,1550,928,1562,916
2dcnn_mc_d3_e20000,3,61.55,63.84,-2.30,3,20000,67.76,59.93,7.83,0.000009,2025-08-22 16:06:03,1679,799,1485,993
2dcnn_mc_d1_e5000,5,57.32,57.97,-0.65,1,5000,37.53,78.41,-40.88,0.000009,2025-08-22 16:06:04,930,1548,1943,535
2dcnn_mc_d3_e5000,5,60.38,62.21,-1.83,3,5000,56.38,68.04,-11.66,0.000009,2025-08-22 16:06:04,1397,1081,1686,792
2dcnn_mc_d5_e5000,8,69.72,62.17,7.55,5,5000,80.79,43.54,37.25,0.000009,2025-08-22 16:06:28,2002,476,1079,1399
2dcnn_mc_d1_e10000,4,57.59,58.17,-0.58,1,10000,40.80,75.54,-34.75,0.000009,2025-08-22 16:06:38,1011,1467,1872,606
2dcnn_mc_d5_e10000,6,67.58,63.14,4.44,5,10000,86.44,39.83,46.61,0.000009,2025-08-22 16:06:39,2142,336,987,1491
2dcnn_mc_d3_e10000,6,62.36,63.26,-0.90,3,10000,63.76,62.75,1.01,0.000009,2025-08-22 16:06:40,1580,898,1555,923
2dcnn_mc_d1_e5000,6,56.92,57.79,-0.87,1,5000,32.97,82.61,-49.64,0.000009,2025-08-22 16:06:43,817,1661,2047,431
2dcnn_mc_d3_e5000,6,60.92,62.73,-1.81,3,5000,57.55,67.92,-10.37,0.000009,2025-08-22 16:06:43,1426,1052,1683,795
2dcnn_mc_d5_e5000,9,71.34,63.80,7.54,5,5000,69.33,58.27,11.06,0.000008,2025-08-22 16:06:54,1718,760,1444,1034
2dcnn_mc_d3_e20000,4,63.09,64.45,-1.36,3,20000,69.33,59.56,9.77,0.000009,2025-08-22 16:07:06,1718,760,1476,1002
2dcnn_mc_d5_e10000,7,69.09,64.89,4.20,5,10000,75.50,54.28,21.23,0.000009,2025-08-22 16:07:18,1871,607,1345,1133
2dcnn_mc_d3_e10000,7,62.26,62.53,-0.27,3,10000,59.08,65.98,-6.90,0.000009,2025-08-22 16:07:19,1464,1014,1635,843
2dcnn_mc_d5_e5000,10,71.58,62.93,8.65,5,5000,73.81,52.06,21.75,0.000008,2025-08-22 16:07:20,1829,649,1290,1188
2dcnn_mc_d1_e5000,7,57.22,57.81,-0.59,1,5000,33.66,81.96,-48.31,0.000009,2025-08-22 16:07:22,834,1644,2031,447
2dcnn_mc_d3_e5000,7,62.56,62.73,-0.17,3,5000,64.21,61.26,2.95,0.000009,2025-08-22 16:07:22,1591,887,1518,960
2dcnn_mc_d1_e20000,3,57.98,59.52,-1.54,1,20000,46.61,72.44,-25.83,0.000009,2025-08-22 16:07:26,1155,1323,1795,683
